brand,price_mean
Yowza Fitness,994.1800000000001
Meopta Optics,967.47
Deltech firness,949.95
Glycine,909.69
American Heritage,899.95
Snap Lock,878.99
KL Industries,861.48
Horizon Fitness,860.2
Mesa Safe,839.2
Leica,832.75
MOTOR TRIKE,832.17
Minox USA,821.31
Match Mate,798.52
Mesa Safe Co.,782.68
CMC,766.69
H2O Fitness,751.65
Shock,745.08
AccuPoint,735.1072727272726
Advance Elements,729.95
Samyang,728.625
Yukon Trail,725.0219999999999
Bladez Fitness,720.6533333333333
Cramer Decker,699.99
Heater Craft,699.99
Casita,694.52
VENTURE OUTDOORS,692.52
Si-tex,676.49
Edox,673.375
Sam Yang,669.95
Bat-Caddy,662.45
Stuhrling Prestige,644.4766666666666
FreeMotion,635.98
SwissBike,629.99
SHOPZEUS,621.49
Trek,620.95
Shoreline Industries,599.99
Formex,599.99
Zeiss,599.2090000000001
KVH,596.25
Vertec,589.95
Hilleberg,587.55
Braun,583.15
HealthRider,578.04
Bullseye Camera Systems,574.99
Brunton Hunting,574.1625
MEPROLIGHT-Ultimate Arms Gear,569.95
HealthMegaMall,565.99
Old Town Canoes &amp; Kayaks,564.9533333333334
Koeckritz,562.99
X-Treme Scooters,562.98
