reviewerID,helpful_rate,helpful_pos
ALQS3FDE7MZTH,100.0,507
ALSR2EB2PFJDA,100.0,498
A754P3SA07347,100.0,414
A1B1TPM94BZ1KQ,100.0,375
A29TSPINMBJMSD,100.0,300
A3VAI141JMUYG8,100.0,275
AVQWFPMRUGX6R,100.0,272
A3FY8TXHU43OII,100.0,268
A2T4M2H5TJ371I,100.0,240
A3BRG3VLSAO9Z2,100.0,235
ACPAFIY0WFQTY,100.0,228
A2OAX5AOU4J0BN,100.0,224
A7AFWQR19U85R,100.0,197
A8EASXF21Z2HH,100.0,190
AD8M54LY4G0UG,100.0,181
AOIP4YJU8O70Z,100.0,179
A3VZ0UK7GVLVNM,100.0,172
ACLTXRNKS5I7I,100.0,172
A2MP7ZVALBU0KD,100.0,167
A1HQD5MRMVJILH,100.0,158
A1DXTHL3DFPE9V,100.0,157
AGVMN9XEO8WHE,100.0,156
A2ZMNIO9CD2BOD,100.0,150
AH6HHPFWRNBU3,100.0,147
A3C4CFXT1LB2TF,100.0,146
A3IFA16UFNE98J,100.0,146
A3DRQC1C4FRFT2,100.0,142
AV2LOX9VNXIK5,100.0,140
A1M7XY0I5QYKJL,100.0,131
A32RX3MJD36TOE,100.0,129
AW33RDB2CET4O,100.0,127
A3DVW0LK2NRC6D,100.0,127
AEUMC47FX4TGX,100.0,126
AI56FNGA6VRNG,100.0,126
A35K8SNGR2VXGV,100.0,124
A36J3156351FQQ,100.0,121
A1N2PW77AC864C,100.0,117
A1BQKKMVENBDF6,100.0,117
A3D895PDO2TGGF,100.0,117
A301Q97UROV542,100.0,117
A2PAM1G9MV3YFX,100.0,116
A2U1C1BVXWB9CM,100.0,115
A3LH0Q9GCCEDC4,100.0,115
A3COFTQFCJLX1Z,100.0,114
A3GFRPCQA21AA1,100.0,113
A2DEPQXYLPUEK1,100.0,111
A142MP0UTLGG9N,100.0,109
A3D61AAMF1RFZ2,100.0,108
ARDFNH1ZQ2HLJ,100.0,108
A38QBGOIYRHMGW,100.0,107
A3AA3OJDGUHGDI,100.0,107
AN8LIAITCUE2H,100.0,107
A3PTQT796TTBJ9,100.0,105
A2PT4UBXV5IPCE,100.0,105
A24V8OXDO5DR84,100.0,104
A1XLMA0UGZB59I,100.0,104
A8IJXLCKR31N7,100.0,104
A29LP78DMBDI75,100.0,104
A10TCS4SUGMT3M,100.0,104
A2XN2ZN9FGJYBD,100.0,103
A7EINAPNDKQL1,100.0,102
A1Z3NYMO17E69X,100.0,102
A2K3J5GY46NOJU,100.0,101
A2FBRMEGCIM6IS,100.0,101
A31KI13F4W285R,100.0,101
ADGZM7VKL1YUT,100.0,100
A12TGEIAWD0KRV,100.0,100
A12GUBRO883O07,100.0,99
A3IL82FWT379C,100.0,99
A1ZYIDQGFFTERW,100.0,98
A1IORYEYBD8XB7,100.0,98
A11GVCGQ9AN0SH,100.0,98
AH6MHRRFF8INZ,100.0,97
A35XFJBCDGAWJA,100.0,97
A1VMF77TPZSXKV,100.0,96
A2D1XG2GVQLZLV,100.0,95
A1FT8UYIPH7213,100.0,95
A2F90XBC42TIN9,100.0,95
AINGI3X280GSJ,100.0,94
A2AR3FJFUHWWYG,100.0,94
A3FT9OHDN66O1F,100.0,94
A3CY90HTOIGWN2,100.0,94
A1GPMDG8IX80QD,100.0,93
A3CVTT66PKR3LE,100.0,93
A1NFE7OW9DMD0O,100.0,93
A289JREDBMGK8G,100.0,93
A1YESZ0BEZ9O73,100.0,93
A8L91XCXBMO9Z,100.0,92
A2E9UPZD9Y3IL6,100.0,92
A3SU50I7TMS35K,100.0,91
A1GYYOE13EFKKW,100.0,91
AE7JLVPKUU4ON,100.0,91
A11S9ZJMVU5NGR,100.0,91
AJXODR3EGSPPV,100.0,90
A2UGLQANYTLIC4,100.0,90
A3SQ2URFB8HV6X,100.0,89
A2LXYB1QS1GE2R,100.0,89
A3DT6I7HL97FYN,100.0,89
AV2P2MJL8WUM4,100.0,89
A2TJG23PLYEDA9,100.0,88
