brand,sales_rank_mean
BikepakUSA,13.0
vt innovation,46.0
SiSSel,81.0
SyncMarket,150.0
Kiwi,243.0
OAGear,278.0
Zippo Butane,296.5
Fladora,475.0
Demco Incorporated,495.0
E LV,497.0
Battle,547.0
Cygolite,774.0
Gatoarde,796.0
TRISLIDE,867.0
Ronco,878.0
Sivan Health And Fitness,892.0
OldPhatVet Brand,948.0
Meister MMA,1028.0
Sean Smile,1041.5
Tri-Fold,1086.0
Ladderball,1091.5
Wet Product,1154.0
Outdoor Active Gear,1217.3333333333333
Running Buddy,1252.0
Unitied Plastics,1268.0
Black Ops Tactical,1378.0
rahabsox,1485.0
Idealist,1518.0
JOB,1560.0
World Sport,1730.0
Svforza Gear,1769.75
Lock-Jaw Collar,1779.0
niceroker,1797.0
AquaLife,1890.0
Ripstik,1941.0
Outlander,2064.0
CompressionZ,2080.0
Mckenzie,2091.0
Arctic Chill Towel,2102.0
Unlimited Wares,2123.0
Selway Archery,2128.0
leegoal,2161.0
PickleballCentral,2189.0
Tapp Collections,2226.0
Sure Plug,2293.5
Back Magic,2335.0
Stun Gun,2366.0
MagneTrainer,2402.0
First Response,2403.0
Apple Round Global Trading LLC,2469.6666666666665
