brand,reviews_count_brand
Coleman,29298
UTG,25653
Casio,14437
NcStar,12641
Fitbit,11621
Intex,11473
Cold Steel,11159
Crosman,10737
Razor,10497
Invicta,10496
Topeak,10126
Kershaw,10047
Victorinox,8443
Schwinn,8410
CamelBak,8077
Smith &amp; Wesson,7950
Plano,7647
Ultimate Arms Gear,7646
Rothco,7355
Hogue,7256
Spyderco,7134
Ka-Bar,6968
WinCraft,6950
Allen Allen,6946
Shimano,6756
Rico,6366
3M,6318
SKLZ,6310
SE,6297
Gerber,6266
Planet Bike,6261
CAP Barbell,5756
Avenir,5728
Park Tool,5694
Pyramid,5558
Fobus,5472
Valeo,5407
Barska,5374
Stamina,5317
BLACK HAWK INC.,5285
Gaiam,5221
Allen Sports,5099
Speedo,5062
SOG Specialty Knives,5046
MTM,4895
MAGPUL INDUSTRIES CORPORATION,4879
Bushnell,4858
MagLula,4857
Omron,4855
Texsport,4729
